Time (s),Amplitude
0.000000000000000000e+00,8.324766528972345203e-02
1.000000000000000021e-03,8.200727862086854003e-02
2.000000000000000042e-03,8.000494014114552244e-02
3.000000000000000062e-03,7.699257251678344460e-02
4.000000000000000083e-03,7.249174088979533359e-02
5.000000000000000104e-03,6.450010678045833834e-02
6.000000000000000125e-03,6.249776830073533462e-02
7.000000000000000146e-03,7.075519955339844291e-02
8.000000000000000167e-03,7.199558622225338267e-02
9.000000000000001055e-03,6.324200030204835121e-02
1.000000000000000021e-02,5.874116867506033041e-02
1.099999999999999936e-02,5.999927515347037998e-02
1.200000000000000025e-02,5.999927515347035917e-02
1.300000000000000114e-02,5.950312048592838049e-02
1.400000000000000029e-02,5.824501400751833091e-02
1.499999999999999944e-02,5.824501400751833091e-02
1.600000000000000033e-02,5.750078200620534902e-02
1.700000000000000122e-02,5.124568923326536934e-02
1.800000000000000211e-02,4.750680941714533617e-02
1.899999999999999953e-02,4.575254827119330792e-02
2.000000000000000042e-02,3.949745549825321722e-02
2.100000000000000130e-02,3.699896235098827646e-02
2.199999999999999872e-02,3.749511701853021350e-02
2.299999999999999961e-02,3.699896235098825564e-02
2.400000000000000050e-02,3.450046920372317610e-02
2.500000000000000139e-02,2.824537643078315480e-02
2.600000000000000228e-02,2.250415813494014566e-02
2.699999999999999969e-02,2.450649661466321183e-02
2.800000000000000058e-02,2.500265128220509683e-02
2.900000000000000147e-02,2.624303795106015108e-02
2.999999999999999889e-02,2.824537643078314439e-02
3.099999999999999978e-02,2.700498976192821504e-02
3.200000000000000067e-02,2.824537643078314786e-02
3.300000000000000155e-02,3.249813072400019320e-02
3.400000000000000244e-02,3.949745549825325192e-02
3.500000000000000333e-02,4.325405512392834634e-02
3.600000000000000422e-02,3.999361016579521672e-02
3.699999999999999817e-02,3.825706882939827747e-02
3.799999999999999906e-02,4.375020979147026257e-02
3.899999999999999994e-02,5.074953456572332822e-02
4.000000000000000083e-02,5.324802771298830367e-02
4.100000000000000172e-02,5.250379571167534259e-02
4.200000000000000261e-02,5.500228885894034581e-02
4.300000000000000350e-02,5.874116867506034428e-02
4.399999999999999745e-02,6.049542982101234478e-02
4.499999999999999833e-02,5.750078200620537677e-02
4.599999999999999922e-02,5.425805685762737085e-02
4.700000000000000011e-02,5.750078200620536290e-02
4.800000000000000100e-02,5.700462733866341197e-02
4.900000000000000189e-02,5.425805685762739167e-02
5.000000000000000278e-02,5.374418238053028929e-02
5.100000000000000366e-02,5.324802771298831755e-02
5.200000000000000455e-02,5.000530256441038796e-02
5.299999999999999850e-02,4.750680941714535005e-02
5.399999999999999939e-02,4.699293494004826155e-02
5.500000000000000028e-02,5.124568923326533465e-02
5.600000000000000117e-02,5.324802771298828979e-02
5.700000000000000205e-02,5.074953456572331434e-02
5.800000000000000294e-02,5.250379571167528014e-02
5.900000000000000383e-02,5.374418238053027541e-02
5.999999999999999778e-02,4.949142808731323701e-02
6.099999999999999867e-02,4.500831626988031214e-02
6.199999999999999956e-02,4.699293494004817828e-02
6.300000000000000044e-02,4.874719608600029674e-02
6.400000000000000133e-02,5.074953456572327964e-02
6.500000000000000222e-02,5.000530256441037408e-02
6.600000000000000311e-02,5.074953456572325883e-02
6.700000000000000400e-02,5.425805685762732228e-02
6.800000000000000488e-02,5.074953456572326577e-02
6.900000000000000577e-02,4.375020979147029726e-02
7.000000000000000666e-02,4.449444179278322364e-02
7.100000000000000755e-02,4.949142808731327170e-02
7.200000000000000844e-02,5.324802771298832449e-02
7.299999999999999545e-02,5.425805685762741248e-02
7.399999999999999634e-02,5.574652086025334158e-02
7.499999999999999722e-02,6.200161363319339758e-02
7.599999999999999811e-02,6.200161363319336982e-02
7.699999999999999900e-02,5.324802771298834531e-02
7.799999999999999989e-02,5.324802771298834531e-02
7.900000000000000078e-02,5.700462733866334258e-02
8.000000000000000167e-02,5.574652086025334158e-02
8.100000000000000255e-02,5.374418238053030317e-02
8.200000000000000344e-02,5.324802771298831755e-02
8.300000000000000433e-02,5.250379571167532178e-02
8.400000000000000522e-02,5.425805685762731534e-02
8.500000000000000611e-02,5.700462733866339810e-02
8.600000000000000699e-02,6.049542982101231009e-02
