Time (s),Amplitude
0.000000000000000000e+00,6.149999999999998801e-01
7.812500000000000000e-03,7.550000000000001155e-01
1.562500000000000000e-02,8.050000000000000488e-01
2.343750000000000000e-02,8.650000000000001021e-01
3.125000000000000000e-02,8.149999999999998357e-01
3.906250000000000000e-02,3.950000000000000733e-01
4.687500000000000000e-02,-3.500000000000004496e-02
5.468750000000000000e-02,-1.049999999999999406e-01
6.250000000000000000e-02,-1.449999999999999900e-01
7.031250000000000000e-02,-1.550000000000000544e-01
7.812500000000000000e-02,-1.350000000000000644e-01
8.593750000000000000e-02,-2.150000000000000244e-01
9.375000000000000000e-02,-2.150000000000000244e-01
1.015625000000000000e-01,-2.149999999999999689e-01
1.093750000000000000e-01,-2.050000000000000711e-01
1.171875000000000000e-01,-1.950000000000000899e-01
1.250000000000000000e-01,-1.850000000000000255e-01
1.328125000000000000e-01,-1.849999999999999978e-01
1.406250000000000000e-01,-1.850000000000000255e-01
1.484375000000000000e-01,-1.850000000000000533e-01
1.562500000000000000e-01,-1.549999999999999434e-01
1.640625000000000000e-01,-5.500000000000001416e-02
1.718750000000000000e-01,-2.049999999999999600e-01
1.796875000000000000e-01,-2.250000000000000611e-01
1.875000000000000000e-01,-2.049999999999999600e-01
1.953125000000000000e-01,-2.149999999999999412e-01
2.031250000000000000e-01,-1.849999999999999423e-01
2.109375000000000000e-01,-1.649999999999999523e-01
2.187500000000000000e-01,-1.449999999999999900e-01
2.265625000000000000e-01,-1.349999999999999811e-01
2.343750000000000000e-01,-1.150000000000000189e-01
2.421875000000000000e-01,-1.349999999999999811e-01
2.500000000000000000e-01,1.499999999999999944e-02
2.578125000000000000e-01,-8.500000000000007550e-02
2.656250000000000000e-01,-1.349999999999999811e-01
2.734375000000000000e-01,-6.499999999999998834e-02
2.812500000000000000e-01,-3.500000000000007272e-02
2.890625000000000000e-01,5.000000000000085106e-03
2.968750000000000000e-01,1.500000000000008618e-02
3.046875000000000000e-01,1.499999999999999944e-02
3.125000000000000000e-01,4.500000000000007466e-02
3.203125000000000000e-01,9.499999999999998723e-02
3.281250000000000000e-01,2.500000000000008465e-02
3.359375000000000000e-01,5.000000000000085106e-03
3.437500000000000000e-01,-5.000000000000000104e-03
3.515625000000000000e-01,4.999999999999942858e-03
3.593750000000000000e-01,-5.499999999999991701e-02
3.671875000000000000e-01,-9.500000000000000111e-02
3.750000000000000000e-01,-9.499999999999997335e-02
3.828125000000000000e-01,-1.349999999999998979e-01
3.906250000000000000e-01,-1.649999999999999800e-01
3.984375000000000000e-01,-1.950000000000000622e-01
4.062500000000000000e-01,-8.499999999999992284e-02
4.140625000000000000e-01,-1.349999999999999534e-01
4.218750000000000000e-01,-2.350000000000000422e-01
4.296875000000000000e-01,-2.650000000000000133e-01
4.375000000000000000e-01,-2.450000000000000233e-01
4.453125000000000000e-01,-1.749999999999999334e-01
4.531250000000000000e-01,-1.950000000000000622e-01
4.609375000000000000e-01,-1.849999999999999700e-01
4.687500000000000000e-01,-1.650000000000000355e-01
4.765625000000000000e-01,-1.650000000000000078e-01
4.843750000000000000e-01,-1.750000000000000722e-01
4.921875000000000000e-01,-1.650000000000000633e-01
5.000000000000000000e-01,-1.650000000000000633e-01
5.078125000000000000e-01,-1.549999999999999434e-01
5.156250000000000000e-01,-1.549999999999999989e-01
5.234375000000000000e-01,-1.450000000000000178e-01
5.312500000000000000e-01,-1.350000000000000644e-01
5.390625000000000000e-01,-1.549999999999999156e-01
5.468750000000000000e-01,-1.249999999999999722e-01
5.546875000000000000e-01,-1.950000000000000067e-01
5.625000000000000000e-01,-1.850000000000000255e-01
5.703125000000000000e-01,-1.649999999999999245e-01
5.781250000000000000e-01,-1.650000000000000078e-01
5.859375000000000000e-01,-1.649999999999999800e-01
5.937500000000000000e-01,-1.750000000000000444e-01
6.015625000000000000e-01,-5.499999999999998640e-02
6.093750000000000000e-01,-1.749999999999999334e-01
6.171875000000000000e-01,-2.150000000000000244e-01
6.250000000000000000e-01,-1.950000000000000067e-01
6.328125000000000000e-01,-1.350000000000000089e-01
6.406250000000000000e-01,-9.499999999999987621e-02
6.484375000000000000e-01,-2.249999999999999223e-01
6.562500000000000000e-01,-2.049999999999999878e-01
6.640625000000000000e-01,-1.749999999999998779e-01
6.718750000000000000e-01,-1.849999999999999145e-01
6.796875000000000000e-01,-7.500000000000003886e-02
6.875000000000000000e-01,-1.950000000000000344e-01
6.953125000000000000e-01,-2.249999999999999223e-01
7.031250000000000000e-01,-1.749999999999999334e-01
7.109375000000000000e-01,-1.750000000000000999e-01
7.187500000000000000e-01,-1.650000000000000633e-01
7.265625000000000000e-01,-1.549999999999998879e-01
7.343750000000000000e-01,-1.549999999999999711e-01
7.421875000000000000e-01,-1.449999999999999623e-01
7.500000000000000000e-01,-1.750000000000000444e-01
7.578125000000000000e-01,-1.549999999999998879e-01
7.656250000000000000e-01,-1.449999999999999900e-01
7.734375000000000000e-01,-1.150000000000000050e-01
7.812500000000000000e-01,-2.049999999999998768e-01
7.890625000000000000e-01,-1.250000000000000278e-01
7.968750000000000000e-01,-2.350000000000000422e-01
8.046875000000000000e-01,-2.049999999999999600e-01
8.125000000000000000e-01,-1.750000000000000999e-01
8.203125000000000000e-01,-1.450000000000000733e-01
8.281250000000000000e-01,-1.549999999999999989e-01
8.359375000000000000e-01,-1.450000000000001843e-01
8.437500000000000000e-01,-1.550000000000001932e-01
8.515625000000000000e-01,-1.250000000000000555e-01
8.593750000000000000e-01,-1.549999999999999989e-01
8.671875000000000000e-01,-1.550000000000001099e-01
8.750000000000000000e-01,-8.500000000000008937e-02
8.828125000000000000e-01,-1.549999999999999989e-01
8.906250000000000000e-01,-1.449999999999999900e-01
