Time (s),Amplitude
0.000000000000000000e+00,-5.050000000000000044e-01
7.812500000000000000e-03,-4.949999999999999956e-01
1.562500000000000000e-02,-5.450000000000000400e-01
2.343750000000000000e-02,-4.450000000000000067e-01
3.125000000000000000e-02,-2.750000000000001887e-01
3.906250000000000000e-02,-1.449999999999999900e-01
4.687500000000000000e-02,-1.349999999999999811e-01
5.468750000000000000e-02,-1.250000000000000833e-01
6.250000000000000000e-02,-1.350000000000000366e-01
7.031250000000000000e-02,-1.250000000000001388e-01
7.812500000000000000e-02,-1.249999999999999584e-01
8.593750000000000000e-02,-1.149999999999999772e-01
9.375000000000000000e-02,-1.150000000000000050e-01
1.015625000000000000e-01,-1.149999999999999495e-01
1.093750000000000000e-01,-9.499999999999997335e-02
1.171875000000000000e-01,-1.049999999999999961e-01
1.250000000000000000e-01,-9.499999999999997335e-02
1.328125000000000000e-01,-9.499999999999991784e-02
1.406250000000000000e-01,-9.500000000000002887e-02
1.484375000000000000e-01,-8.499999999999996447e-02
1.562500000000000000e-01,-9.500000000000002887e-02
1.640625000000000000e-01,-5.499999999999995864e-02
1.718750000000000000e-01,-4.500000000000008854e-02
1.796875000000000000e-01,-5.500000000000003497e-02
1.875000000000000000e-01,-4.500000000000006772e-02
1.953125000000000000e-01,-4.500000000000007466e-02
2.031250000000000000e-01,-4.500000000000006078e-02
2.109375000000000000e-01,-2.500000000000003955e-02
2.187500000000000000e-01,-5.000000000000098116e-03
2.265625000000000000e-01,4.999999999999955869e-03
2.343750000000000000e-01,1.499999999999994046e-02
2.421875000000000000e-01,2.499999999999997710e-02
2.500000000000000000e-01,6.499999999999991895e-02
2.578125000000000000e-01,1.250000000000000555e-01
2.656250000000000000e-01,1.349999999999998423e-01
2.734375000000000000e-01,1.649999999999999523e-01
2.812500000000000000e-01,1.950000000000000344e-01
2.890625000000000000e-01,2.349999999999999034e-01
2.968750000000000000e-01,2.750000000000000222e-01
3.046875000000000000e-01,2.849999999999999756e-01
3.125000000000000000e-01,3.049999999999999378e-01
3.203125000000000000e-01,3.049999999999999378e-01
3.281250000000000000e-01,2.849999999999998090e-01
3.359375000000000000e-01,2.549999999999998934e-01
3.437500000000000000e-01,1.849999999999999700e-01
3.515625000000000000e-01,1.249999999999999167e-01
3.593750000000000000e-01,6.499999999999997446e-02
3.671875000000000000e-01,-2.500000000000008812e-02
3.750000000000000000e-01,-5.500000000000001416e-02
3.828125000000000000e-01,-1.150000000000000050e-01
3.906250000000000000e-01,-1.449999999999999623e-01
3.984375000000000000e-01,-1.849999999999999978e-01
4.062500000000000000e-01,-1.649999999999999800e-01
4.140625000000000000e-01,-1.550000000000000544e-01
4.218750000000000000e-01,-1.849999999999999145e-01
4.296875000000000000e-01,-1.950000000000000067e-01
4.375000000000000000e-01,-1.950000000000000344e-01
4.453125000000000000e-01,-1.849999999999999700e-01
4.531250000000000000e-01,-2.049999999999999878e-01
4.609375000000000000e-01,-1.950000000000000344e-01
4.687500000000000000e-01,-1.749999999999999889e-01
4.765625000000000000e-01,-1.849999999999999700e-01
4.843750000000000000e-01,-1.749999999999999889e-01
4.921875000000000000e-01,-1.749999999999999611e-01
5.000000000000000000e-01,-1.650000000000000078e-01
5.078125000000000000e-01,-1.449999999999999900e-01
5.156250000000000000e-01,-1.849999999999999978e-01
5.234375000000000000e-01,-1.549999999999999156e-01
5.312500000000000000e-01,-1.350000000000000089e-01
5.390625000000000000e-01,-1.349999999999999256e-01
5.468750000000000000e-01,-1.249999999999999584e-01
5.546875000000000000e-01,-1.150000000000001299e-01
5.625000000000000000e-01,-1.250000000000000555e-01
5.703125000000000000e-01,-1.350000000000000921e-01
