Time (s),Amplitude
0.000000000000000000e+00,3.740439149679808395e-01
7.812500000000000000e-03,6.957967876787649608e-01
1.562500000000000000e-02,9.480312794289218470e-01
2.343750000000000000e-02,9.148692841291571343e-01
3.125000000000000000e-02,7.186792250394091752e-01
3.906250000000000000e-02,3.519904717108985892e-01
4.687500000000000000e-02,7.221086873919353721e-02
5.468750000000000000e-02,-1.377836496628653540e-01
6.250000000000000000e-02,-1.622794681670083339e-01
7.031250000000000000e-02,-1.713339456019681295e-01
7.812500000000000000e-02,-1.339725377147592544e-01
8.593750000000000000e-02,-1.804932596842737658e-01
9.375000000000000000e-02,-1.994058468623017555e-01
1.015625000000000000e-01,-2.446637819930998770e-01
1.093750000000000000e-01,-2.165476624039493203e-01
1.171875000000000000e-01,-2.057646841169364915e-01
1.250000000000000000e-01,-1.674631125550017363e-01
1.328125000000000000e-01,-1.782417071034995970e-01
1.406250000000000000e-01,-1.717030901681649846e-01
1.484375000000000000e-01,-1.801273991612699077e-01
1.562500000000000000e-01,-1.555662817500646222e-01
1.640625000000000000e-01,-1.471737700801666882e-01
1.718750000000000000e-01,-1.459878655612831810e-01
1.796875000000000000e-01,-1.781007371463628475e-01
1.875000000000000000e-01,-2.123223116971549584e-01
1.953125000000000000e-01,-2.301011755411177806e-01
2.031250000000000000e-01,-2.156269363519231486e-01
2.109375000000000000e-01,-1.726840756538737531e-01
2.187500000000000000e-01,-1.346630530069898579e-01
2.265625000000000000e-01,-1.053324636293975214e-01
2.343750000000000000e-01,-1.058547282926420308e-01
2.421875000000000000e-01,-9.949964681862132065e-02
2.500000000000000000e-01,-1.002532150095617747e-01
2.578125000000000000e-01,-7.661195132422762843e-02
2.656250000000000000e-01,-6.859779549208336324e-02
2.734375000000000000e-01,-4.936949415647468725e-02
2.812500000000000000e-01,-4.954229072959891872e-02
2.890625000000000000e-01,-2.423841361363635385e-02
2.968750000000000000e-01,-1.814079959320581215e-03
3.046875000000000000e-01,4.262919880938225575e-02
3.125000000000000000e-01,6.058220461772768906e-02
